gene,causal_evidence_tier,direction_inhibit_or_activate,druggability_tier,druggability_detail,OT_SM_buckets,OT_AB_buckets,OT_PR_buckets,OT_OC_buckets,depmap_classification,depmap_mean_chronos,depmap_pct_dependent,depmap_flag,in_clinical_trials,cross_ancestry,novelty_score,overall_rank,evidence_summary
MUC5B,Tier1_Strong,Inhibit,Tier3_ASO,"Mucin; SpliSense SPL5B inhaled ASO entering Phase 1 mid-2026; no SM ligands",0,3,0,0,Not_Essential,-0.037,0.2%,No,SPL5B_Phase1_2026,Moderate_EUR_high_EAS_low,Low,1,"GWAS OR=4.11 (rs35705950) p<1e-121 (Chin 2025 PMID:39974050); TWAS p=1.09e-28 lung; coloc PP.H4=1.00; SpliSense SPL5B ASO entering Phase 1; platform validated by SPL84 CF Phase 2 success (Sep 2025)"
DPP9,Tier1_Strong,PARADOX_inhibition_worsens_IPF_downstream_targets_needed,Tier1_SelectiveInhibitors,"Serine protease; Cpd 42/47 Ki~nM 93-176x DPP9/DPP8 selectivity >1000x DPP4 (JMedChem 2023 DOI:10.1021/acs.jmedchem.3c00609); F253 key selectivity residue (ChemMedChem 2025 DOI:10.1002/cmdc.202400700); CRITICAL PK: Cpd42 only 2% oral bioavail <45min t1/2 (Nguyen 2025 CMLS); Cpd 6e oral bioavail+long t1/2 (JMedChem 2025); DOWNSTREAM ALTERNATIVES: ADS032 dual NLRP1/NLRP3 inhibitor (CTI 2023 PMID:37360982); disulfiram GSDMD inhibitor (NatImmunol PMID:32367036); anakinra/canakinumab IL-1β blockade; pinocembrin DPP9 transcriptional activator (ImmunolRes 2025)",3,0,3,0,Not_Essential,-0.059,0.3%,No,No_IPF_trial,Moderate_EUR,Very_High,2,"GWAS p=1.7e-12; coloc PP.H4=0.968 fibroblasts (Dalapati 2025 PMID:39876559; published revision of 0.989 preprint value); DPP9 decreased in AT2+monocytes but INCREASED in myofibroblasts (scRNA); STRUCTURAL: cryo-EM 2:1 NLRP1:DPP9 ternary complex at 3.6A (PDB 6X6A/6X6C Hollingsworth Nature 2021 PMID:33731932; PDB 7CRW Huang Nature 2021 PMID:33731929); ZU5 domain autoinhibits NLRP1-CT; DPP9 sequesters freed CT fragments preventing inflammasome assembly; both catalytic+scaffolding functions required (Zhong JBC 2018 PMID:30291141); PARADOX RESOLVED: DPP9 inhibition WRONG for IPF — activates NLRP1→pyroptosis→IL-1β; Dpp9-S759A mice die within 24h (rescued by single-copy Nlrp1/Asc/Gsdmd/Il-1r deletion; Harapas SciImmunol 2022 PMID:36112693); CELL-TYPE COMPLEXITY: DPP9 ↓AT2+monocytes=inflammasome derepression vs DPP9 ↑myofibroblasts=EMT promotion (TGF-β1/Smad; TC-E5007 reverses renal EMT PMID:33932609); THERAPEUTIC STRATEGY: target DOWNSTREAM — (1) ADS032 NLRP1/NLRP3 dual inhibitor advanced preclinical (2) disulfiram/DMF GSDMD inhibitors FDA-approved repurposing (3) anakinra/canakinumab IL-1β blockade approved safe never tested IPF — BIGGEST TRANSLATIONAL GAP"
DSP,Tier1_Strong,Inhibit,Tier3_StructuralTarget,"Structural protein; OT shows HQ druggable pocket (DrugEBIlity>=0.7); ASO possible",2,2,2,0,Not_Essential,-0.077,0.5%,No,No,Low_EUR_only,Medium,3,"GWAS OR=1.44 p=7.81e-28; TWAS p=1.35e-29 lung; coloc CLPP=1.00 controls; OT: HQ druggable pocket; 6 total tractability buckets; confirmed Chin 2025"
IL7,Tier2_Moderate,Activate,Tier1_ClinicalGradeRecombinant,"Recombinant IL-7 (CYT107) safe in >650 patients; oncology CR doubling (urothelial 2024 PMID:39576210); new NCT07308886 registered",0,3,0,0,Not_Essential,0.100,0.0%,No,No_IPF_trial,Unknown_EUR_eQTL,Very_High,4,"MR OR=0.67 protective (Liu 2024 PMID:38783236); coloc PP.H4=0.84; IL-7 inhibits fibroblast TGF-beta via JAK1/STAT1/Smad7; CYT107 safe in COVID lung (JCI Insight 2024); DepMap: 0% dependent — VERY SAFE; strongest novel repurposing candidate"
DEPTOR,Tier2_Moderate,Activate,Tier2_mTOR_pathway,"mTOR negative regulator; sirolimus pilot showed 35% fibrocyte decline (PMID:36853800); no direct DEPTOR ligands",1,1,3,0,Strongly_Selective,-0.046,0.3%,Caution_selective,Sirolimus_pilot_done,Moderate_replicated,High,5,"GWAS OR=0.82 (PMID:31710517); TWAS p=8.58e-9 lung; sirolimus crossover IPF: 35% fibrocyte suppression (JCI Insight 2023); converges with NPRL3; DepMap strongly selective (0.3%); OT: 5 tractability buckets including 3 PROTAC"
ACVRL1,Tier2_Moderate,Context_dependent,Tier1_AdvancedClinical,"ALK1; sotatercept (Winrevair) FDA-approved PAH March 2024; MOST TRACTABLE target (10 OT buckets); dalantercept tested oncology",5,4,1,0,Strongly_Selective,0.044,0.3%,Caution_selective,Sotatercept_approved_PAH,Unknown,Very_High,6,"MR causal link confirmed (BiochemGenet 2026); sotatercept FDA-approved PAH 2024; investigated for PH-IPF; 10 OT tractability buckets (HIGHEST); HHT gene — safety: telangiectasia/epistaxis risk; DepMap strongly selective (0.3%)"
AKAP13,Tier2_Moderate,Inhibit,Tier2_Pathway_ROCK_in_IPF_trial,"RhoA-GEF; zelasudil (RXC007) ROCK inhibitor Phase 2a IPF ACTIVE (hold lifted March 2026 Redx Pharma); fasudil/ripasudil approved other indications",1,1,2,0,Strongly_Selective,0.011,0.8%,Caution_selective,Zelasudil_Phase2a_IPF_2026,Moderate_confirmed_2025,High,7,"GWAS OR=1.27; 1.42x higher expression in IPF lung; RhoA signaling; confirmed Chin 2025; SESSION 5 UPDATE: zelasudil (RXC007) Phase 2a IPF partial clinical hold LIFTED (Redx Pharma March 2026) — first ROCK inhibitor in active IPF trial; AKAP13→RhoA→ROCK pathway now has direct genetic-clinical convergence"
ATP11A,Tier2_Moderate,Inhibit,Tier3_ToolCompoundsOnly,"P4-ATPase flippase; druggable P-type ATPase family; no specific ATP11A inhibitors",0,3,2,0,Not_Essential,0.014,0.0%,No,No,Moderate_shared_COVID,High,8,"GWAS p=6.7e-9; coloc PP.H4=0.996 smoker lung + 0.994 monocytes (VERY STRONG); TLR4 innate immune; DepMap 0% dependent — VERY SAFE; antibody tractable via membrane localization"
FKBP5,Tier2_Moderate,Inhibit,Tier1_AdvancedCompounds,"SAFit2 Ki=6nM >10000x selective; macrocyclic inhibitors (AngewChem 2025); tested MS (JNeuroinflammation 2026) pain (PNAS 2025) osteoporosis (2025)",3,0,4,0,Not_Essential,0.058,0.0%,No,No_IPF_trial,Multi_ancestry_GBMI,High,9,"GWAS p=3.33e-8 (GBMI); SAFit2 expanding therapeutic profile: MS 2026 pain 2025 osteoporosis 2025; 7 OT tractability buckets; DepMap 0% dependent; no IPF fibrosis model tested; 4 PROTAC buckets (exceptional)"
TERT,Tier1_Strong,Activate,Tier2_ClinicalStageCompounds,"Imetelstat (Rytelo) FDA-approved MDS 2024 (inhibitor wrong direction); BIBR1532; TA-65/danazol for activation",2,1,2,1,Strongly_Selective,-0.063,1.7%,Caution_selective,No_IPF_trial,High_best_cross_ancestry,Low,10,"GWAS p=2.2e-14; telomere maintenance; DepMap: strongly selective 1.7% (NOT common essential — corrected from prior overestimate); activation needed but pharmacologically challenging; imetelstat wrong direction; cross-ancestry validated EUR+EAS+AMR"
TOLLIP,Tier2_Moderate,Activate,Tier4_NoKnownLigands,"No known ligands; innate immunity modulator; challenging to activate",0,0,0,0,Not_Essential,0.084,0.0%,No,No,Unknown,Medium,11,"GWAS p=3.8e-8; TWAS p=1.41e-15 blood; decreased expression=risk; MUC5B-independent 11p15.5; DepMap 0% dep; 0 OT tractability buckets — least tractable target"
GPR157,Tier2_Moderate,Unknown,Tier3_OrphanGPCR,"Orphan GPCR; Pharos Tdark; STILL undeorphanized March 2026; no SM tractability; GzESTY tool (NatComm 2025) targets Gi/o not Gq",0,3,0,0,Not_Essential,0.022,0.1%,No,No,Low_EAS_enriched,Very_High,12,"GWAS OR=0.91 protective (GBMI); GPR157 STILL ORPHAN March 2026; Gq-coupled; CSF contains putative ligand (Takeo 2016); DepMap non-essential; GPCRs most drugged class but ligand ID required first"
RIPK4,Tier2_Moderate,Inhibit,Tier2_Kinase,"Kinase; HQ ligands exist; strong PROTAC potential (3 buckets); 7 total OT buckets",2,2,3,0,Not_Essential,-0.041,0.6%,No,No,Unknown,High,13,"MR OR=2.60 risk (FDR=0.031 PMID:39425105); HEIDI-pass; NF-kB kinase; OT 7 tractability buckets; DepMap non-essential (0.6%); strong MR but no direct GWAS locus"
NPRL3,Tier2_Moderate,Activate,Tier3_mTOR_pathway,"GATOR1 subunit; minimal tractability (2 OT buckets); mTOR inhibitors target downstream",1,0,1,0,Not_Essential,0.154,0.0%,No,No,Moderate,High,14,"GWAS OR=1.49 p=2.57e-12; GATOR1 mTORC1 inhibitor; converges with DEPTOR; DepMap non-essential; only 2 OT tractability buckets (LOWEST after TOLLIP); loss=mTOR hyperactivation"
FAM13A,Tier2_Moderate,Inhibit_likely,Tier4_NoKnownLigands,"Poorly characterized; RhoA pathway; upregulated in IPF (Wen 2025 PMID:40091050)",0,0,0,0,Not_Essential,0.053,0.0%,No,No,Moderate_replicated,Medium,15,"GWAS p=2.2e-11; upregulated in IPF (Wen 2025 multi-omics PMID:40091050); confirmed Chin 2025; MR causal support; no tractability; direction clarified as likely inhibit"
MUC1,Tier1_Strong,Inhibit,Tier2_ClinicalCompounds,"Transmembrane mucin; GO-201 peptide inhibitor reduces bleomycin fibrosis in vivo (Milara Thorax 2020 PMID:31801904); GO-203 (sister compound) Phase I/II in AML (NCT02204085); MUC1-KO mice protected; DS-3939 ADC (TA-MUC1) Phase 1/2 ESMO 2025: 11/64 responses; KL-6 (MUC1 ectodomain) established IPF biomarker enables theranostic strategy; pirfenidone partially MUC1-CT-mediated",0,3,0,0,Not_queried,NA,NA,Unknown,No_IPF_trial,Unknown_new_locus,Very_High,8,"GWAS: rs9426886 1q22 OR=1.162 (95%CI 1.106-1.219) p=1.53e-9 (Chin 2025 PMID:39974050); replicated GBMI p=8.02e-3; EAF=0.568; 7-SNP credible set; in TRIM46 intron but functional mapping→MUC1; INDEPENDENT from MUC5B (chr1 vs chr11); eQTL coloc PP.H4=0.616 blood + mQTL coloc cg15699386; risk allele INCREASES MUC1 expression; FUNCTIONAL: MUC1-CT phosphorylation (Thr41+Tyr46) increased in IPF lung (n=22 vs 21 controls); TGFβ1→Smad3→pMUC1-CT→active-β-catenin trimeric nuclear complex activates fibrotic genes (Milara Thorax 2020 PMID:31801904); galectin-3 also activates MUC1-CT independently of TGFβ1; MUC1-KO mice PROTECTED from bleomycin fibrosis; GO-201 REDUCES bleomycin fibrosis in vivo; PIRFENIDONE mechanism partially MUC1-CT: inhibits TGFβ1-induced pThr41/pTyr46 (Ballester Oncotarget 2020 PMID:32341751); KL-6 clinical: ≥1000 U/mL predicts progression HR=2.761 (SciRep 2022); ≥1200 U/mL predicts death in IPF+OSA HR=4.887; MUC1 also pro-fibrotic in kidney (mesangial proliferation via STAT/β-catenin PMID:34520253; ADTKD-MUC1 causes kidney fibrosis); THERANOSTIC: KL-6 biomarker for patient selection + MUC1-CT inhibitor for therapy"
BTRC,Tier2_Moderate,Activate,Tier3_ToolCompoundsOnly,"Beta-TrCP E3 ligase; Wnt/NF-kB; activation pharmacologically difficult",1,1,2,0,Not_Essential,-0.116,0.9%,No,No,Unknown,High,17,"MR OR=0.30 STRONG protective (FDR=0.029 PMID:39425105); HEIDI-pass; Wnt signaling; activation difficult; DepMap 0.9% dep; 4 OT buckets"
KIF15,Tier2_Moderate,Activate,Tier3_ToolCompoundsOnly,"Kinesin motor; HQ ligands exist; but activation needed for IPF (inhibitors wrong direction)",2,0,2,0,Strongly_Selective,-0.183,8.4%,Yes_SAFETY_FLAG,No,Moderate_rare_variant,High,18,"GWAS OR=1.58 (low-freq); decreased expression=risk; DepMap: SAFETY FLAG — 100/1186 (8.4%) dep lines min Chronos -1.31; MOST dependent of all targets; spindle assembly gene; activation needed but KO is harmful in many cancers"
FUT6,Tier2_Moderate,Unknown,Tier3_ToolCompoundsOnly,"Fucosyltransferase; glycosylation enzyme; tool compounds exist",0,0,0,0,Not_Essential,-0.029,0.3%,No,No,Low_AMR_enriched,High,19,"GWAS OR=1.11 (GBMI); Lewis antigen synthesis; mucin fucosylation; DepMap non-essential; 0 OT tractability buckets"
MAD1L1,Tier2_Moderate,Unknown,Tier4_NoKnownLigands,"Spindle checkpoint; no known ligands; challenging target",0,0,0,0,Not_Essential,-0.086,4.1%,Caution_moderate,No,Unknown,Medium,20,"GWAS OR=1.28; spindle checkpoint; decreased expression=risk; DepMap: 49/1186 (4.1%) dep lines — moderate safety concern; part of spindle cluster; 0 OT tractability buckets"
PSKH1,Tier3_Suggestive,Unknown,Tier3_ToolCompoundsOnly,"Protein serine kinase; kinase=druggable; EAS-specific",0,0,0,0,Not_Essential,0.140,0.1%,No,No,Very_Low_EAS_only,Very_High,21,"GWAS OR=3.20 EAS-specific; confirmed EAS-only in Chin 2025 EUR GWAS; DepMap non-essential; requires EAS-focused development"
NTN4,Tier2_Moderate,Context_dependent_direction_unknown,Tier3_Secreted_Protein,"Netrin-4; secreted ~70kDa laminin-related protein; Pharos Tbio; does NOT bind classical netrin receptors (DCC/UNC5); binds neogenin directly (PNAS 2008 PMID:18719102) + recruits UNC5B indirectly; primary target laminin-gamma1 chain (Kd~nM; Schneiders JBC 2007 PMID:17588941); crystal structure 3.1A (NatComm 2016 PMID:27901020); recombinant available (R&D Systems 1254-N4); NP137 anti-NTN1 mAb Phase I/II cancer (NETRIS) but NTN4-specific compounds absent",0,3,0,0,Not_Essential_inferred,~0.0,<1%,No,No,Unknown_new_locus,Very_High,22,"GWAS: rs7957346 12q23.1 OR=1.153 (95%CI 1.098-1.212) p=1.56e-8 (Chin 2025 PMID:39974050); replicated GBMI p=4.69e-5; in SNRPF 3'-UTR; 5-SNP credible set PIP=0.376; NTN4 highest coloc PP.H4=0.649 lung; risk allele also ↓lung function (p=7.8e-45); NOVEL BIOLOGY: expressed in ABERRANT BASALOID CELLS — IPF-specific population absent in controls coexpressing TP63/KRT17/VIM/COL1A1/CDKN1A (Adams SciAdv 2020 PMID:32832599); regulates lung branching morphogenesis (Dev Cell 2004 PMID:15186747); ANTI-SENESCENCE: ↓SA-βgal/↓CDKN1A/↓CDKN2A in ECs rescued by NTN4 coating (Zhang IntJBiochemCellBiol 2021 PMID:33636396); anti-inflammatory: NTN4 silencing ↑ICAM-1/VCAM-1; disrupts laminin BM networks (NatComm 2016 PMID:27901020); DOES NOT bind DCC/UNC5 directly (unlike NTN1) — binds neogenin (PNAS PMID:18719102) + recruits UNC5B indirectly; NTN1 PRO-FIBROTIC from macrophages (JCI 2021 PMID:33393489) but PROTECTIVE from epithelium (ATS 2025) — cell-type dependent; NTN4 in OA promotes IL-6/IL-8/CXCL1 in synovial fibroblasts (Cells 2024); inhibits Wnt/β-catenin in ccRCC (Cancers 2023 PMC10216638); NO NTN4-fibrosis study published — HIGHEST NOVELTY TARGET"
SPDL1,Tier2_Moderate,Activate,Tier4_NoKnownLigands,"Spindly; coiled-coil mitotic checkpoint protein; regulates kinetochore-microtubule attachment; no known ligands; extends KIF15/MAD1L1/KNL1 spindle cluster",0,0,0,0,Likely_CommonEssential_inferred,~-0.5,>5%,Yes_SAFETY_FLAG_inferred,No,Moderate_FinnGen_replicated,Very_High,23,"NEW ENTRY Session 5: Rare missense variant rs116483731 p.Arg20Gln OR=2.87 (ExWAS p=2.4e-7; combined with FinnGen p=2.2e-20; CommsBiol 2021 PMID:33758299); SPDL1 upregulated 1.2-fold in IPF tissue (FDR=6.0e-8); encodes Spindly protein critical for chromosome alignment + spindle assembly checkpoint; mutant Spindly causes aberrant spindle morphology + chromosome segregation errors; extends spindle cluster (KIF15/MAD1L1/KNL1/STMN3); Koskela 2021 preprint: SPDL1 shared risk locus for IPF AND cancer (with MAD1L1/MAP2K1/RTEL1/TERC/OBFC1); links mitotic errors→replicative stress→telomere attrition→senescence→fibrosis"
IL1B,Tier2_Moderate_Downstream_from_DPP9,Inhibit,Tier1_ClinicalGrade,"IL-1β cytokine; anakinra (IL-1R antagonist) approved RA/SJIA daily SC; canakinumab (anti-IL-1β mAb) approved autoinflammatory q8w SC; rilonacept (IL-1 trap) approved periodic fever SC/IV; >10,000 patients treated globally; safety: well-tolerated vs TNF inhibitors; NO IPF trial yet",NA,NA,NA,NA,Not_cancer_relevant,NA,NA,No,No_IPF_trial,Unknown_generalizability,Very_High,24,"GENETIC ANCHOR: DPP9 loss (GWAS PMID:23583980) → NLRP1/CARD8 inflammasome activation (Nature 2021 PMID:33731929) → IL-1β release (is primary fibrotic effector). BIOLOGY: NLRP3/AIM2 inflammasomes in IPF lungs release IL-1β→TGF-β activation→myofibroblast differentiation→ECM deposition (reviewed 2024-2025). CLINICAL PARADOX: IL-1 inhibitors approved safe agents (anakinra/canakinumab) never tested in IPF despite biological rationale. OPPORTUNITY: Genetically-aligned downstream target overlooked by pharma. TRIAL DESIGN: Enrich for high baseline IL-1β (BAL or plasma) in early IPF; anakinra + standard care vs standard care. NO DEPMAP SCORE (not cancer-relevant). Represents functionally-aligned alternative to impossible DPP9 activation strategy."
SLC6A6,Tier3_Suggestive,Unknown,Tier4_NoKnownLigands,"Taurine transporter (TauT); SLC6 family; 2026 NatMetab: mitochondrial taurine import sustains mitochondrial translation; cancer immunology (Cell 2024: taurine competition→T cell exhaustion); emerging metabolic dependency in AML/solid tumors; no known modulators for fibrosis",0,0,0,0,Selective_Dependency_inferred,~-0.2,2-5%,Caution_selective_inferred,No,Unknown_new_locus,Low,25,"NEW SESSION 5: GWAS signal 3p25.1 rs112271207 (Chin 2025 PMID:39974050); 91.6kb downstream LSM3; MAF 6%; NO DIRECT FIBROSIS EVIDENCE: amino acid metabolism broadly implicated in IPF (CellDeathDiscov 2025) but no SLC6A6-fibrosis link published; taurine supplementation studied in CF not IPF; SLC6A6 emerging in cancer/immune biology (NatMetab 2026: mitochondrial import; Cell 2024: T cell exhaustion); LOWEST PRIORITY among Chin 2025 novel loci"
